business_id,normalized_price,OutdoorSeating,RestaurantsReservations,category_cluster_1,category_cluster_2,category_cluster_3,category_cluster_4,category_cluster_5,category_cluster_6,category_cluster_7,category_cluster_8,category_cluster_9,description
L7wxpQOteDpED0zcn4hsHQ,0.0,1,0,0,0,0,0,0,0,0,0,1,"OCF Coffee House: budget-friendly eatery categorised under Coffee & Tea, Bagels, Internet Cafes"
WmYTH7lcDV-eikAlC2UXcQ,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,1,"Fox & Hounds Pub: affordable eatery categorised under Beer, Wine & Spirits, Pubs, American (New), Cocktail Bars, with classy ambience"
VCcRIwKQPhfS3LOWnhPx3Q,0.3333333333333333,0,1,0,0,0,0,0,0,0,0,1,"Bailey's Bar & Grille: affordable eatery categorised under Dive Bars, Beer, Wine & Spirits, Local Flavor, Music Venues, American (Traditional), Arts & Entertainment, with casual ambience"
StvwzSjNX5Aki0yBafTcmA,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,Starbucks: affordable eatery categorised under Coffee & Tea
HpCsADSPPSoCghfcZeT55w,0.3333333333333333,1,1,0,0,0,0,0,0,0,0,1,"Iron Hill Brewery & Restaurant: affordable eatery categorised under Breweries, American (New), with casual, classy ambience"
mBcvp7NarEQEviJyRiX23Q,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,1,Starbucks: affordable eatery categorised under Coffee & Tea
j2580WwGiOO7IUlY7jOyRQ,0.0,0,0,0,0,0,0,0,0,0,0,1,"Freddy Hill Farms: budget-friendly eatery categorised under Mini Golf, Ice Cream & Frozen Yogurt, Active Life"
_PundYs-vjo7ELl8lh264A,0.0,0,0,0,0,0,0,0,0,0,0,1,"Zsa's Gourmet Ice Cream: budget-friendly eatery categorised under Ice Cream & Frozen Yogurt, Food Trucks"
kINOfJQjPY7kmpfH03fPXg,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,1,"The Lucky Cupcake Company's Village Bakery: affordable eatery categorised under Coffee & Tea, Desserts, Bakeries"
8Xk9nyQkaLZyWJcZrwX2uA,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,"Kung Fu Tea: affordable eatery categorised under Coffee & Tea, Bubble Tea, Juice Bars & Smoothies"
